id1,machine_tag,title,inscription,latitude,longitude,country,area,address,erected,main_photo,colour,organisations,language,lead_subject_id,lead_subject_machine_tag,lead_subject_name,lead_subject_surname,lead_subject_sex,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_roles,lead_subject_primary_role,lead_subject_wikipedia,lead_subject_dbpedia,lead_subject_image
10017,openplaques:id=10017,John Passmore Edwards plaque,John Passmore Edwards 1823-1911,51.53170,-0.03630,United Kingdom,London,"Vernon Hall, Roman Road, Bow, E3",,,,"[""London Borough of Tower Hamlets""]",English,275,openplaques:subject:id=275,John Passmore Edwards,Edwards,male,1823,1911,man,"[""journalist"", ""editor"", ""builder of free public libraries""]",journalist,https://en.wikipedia.org/wiki/John_Passmore_Edwards,http://dbpedia.org/resource/John_Passmore_Edwards,https://commons.wikimedia.org/wiki/Special:FilePath/John_Passmore_Edwards_by_George_Frederic_Watts.jpg?width=640
10019,openplaques:id=10019,William Hale White and John Kirk brown plaque,"Honeywood. In the 1880's John Kirk, a merchant, reconstructed a building called Wandle Cottage on this site and transferred the name 'Honeywood' from the neighbouring house, which he demolished. Novelist and philosopher William Henry Hale White (""Mark Rutherford"") lived in Wandle Cottage, 1804-6. A watercourse runs beneath the house.",51.36560,-0.16473,United Kingdom,London,"Honeywood Walk, Carshalton",,,brown,"[""London Borough of Sutton""]",English,592,openplaques:subject:id=592,William Hale White,White,male,1831,1913,man,"[""novelist""]",novelist,https://en.wikipedia.org/wiki/Hale_White,http://dbpedia.org/resource/Hale_White,https://commons.wikimedia.org/wiki/Special:FilePath/William_Hale_White00.jpg?width=640
10027,openplaques:id=10027,George Meredith and Kingston Lodge green plaque,Site of former Kingston Lodge home of novelist George Meredith from 1865 to 1868,51.41176,-0.29016,United Kingdom,London,"Buick House, London Road, Norbiton",,https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_green_plaque.jpg?width=640,green,[],English,6825,openplaques:subject:id=6825,George Meredith,Meredith,male,1828,1909,man,"[""novelist"", ""poet"", ""Order of Merit recipient""]",novelist,https://en.wikipedia.org/wiki/George_Meredith,http://dbpedia.org/resource/George_Meredith,https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_by_George_Frederic_Watts.jpg?width=640
485,openplaques:id=485,C. L. R. James blue plaque,C. L. R. James 1901-1989 West Indian writer and political activist lived and died here,51.45670,-0.10598,United Kingdom,London,"165 Railton Road, Brixton, Lambeth, SE24",2004,https://commons.wikimedia.org/wiki/Special:FilePath/C.L.R._JAMES_1901-1989_West_Indian_Writer_and_Political_Activist_lived_and_died_here.jpg?width=640,blue,"[""administered by English Heritage as part of the London wide plaque scheme"", ""English Heritage""]",English,468,openplaques:subject:id=468,C. L. R. James,James,male,1901,1989,man,"[""political activist"", ""West Indian writer""]",political activist,https://en.wikipedia.org/wiki/C._L._R._James,http://dbpedia.org/resource/C._L._R._James,
10672,openplaques:id=10672,Elizabeth Bowen blue plaque,Elizabeth Bowen 1899 - 1973 writer lived here 1935 - 1952,51.52501,-0.15947,United Kingdom,London,"2 Clarence Terrace, Regents Park, NW1 4RD",2012,https://farm9.staticflickr.com/8148/7556492150_123d3fe7ce_z.jpg,blue,"[""administered by English Heritage as part of the London wide plaque scheme"", ""English Heritage""]",English,7152,openplaques:subject:id=7152,Elizabeth Bowen,Bowen,female,1889,1973,woman,"[""writer""]",writer,https://en.wikipedia.org/wiki/Elizabeth_Bowen,http://dbpedia.org/resource/Elizabeth_Bowen,
1115,openplaques:id=1115,Voltaire green plaque,Voltaire 1694-1778 French philosopher and satirist lodged in a house on this site 1727-1728,51.51072,-0.12293,United Kingdom,London,10 Maiden Lane WC2,1994,https://commons.wikimedia.org/wiki/Special:FilePath/Voltaire_1694-1778_French_philosopher_and_satirist_lodged_in_a_house_on_this_site_1727-1728.jpg?width=640,green,"[""City of Westminster""]",English,2724,openplaques:subject:id=2724,Voltaire,Voltaire,male,1694,1778,man,"[""philosopher"", ""satirist""]",philosopher,https://en.wikipedia.org/wiki/Voltaire,http://dbpedia.org/resource/Voltaire,"https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas_de_Largillière,_François-Marie_Arouet_dit_Voltaire_(vers_1724-1725)_-001.jpg?width=640"
1120,openplaques:id=1120,P. G. Wodehouse blue plaque,Writer - humorist Sir P. G. Wodehouse in residence 1918-1920,51.49760,-0.16325,United Kingdom,London,16 Walton Street,,https://commons.wikimedia.org/wiki/Special:FilePath/Writer_-_humorist_Sir_P._G._Wodehouse_in_residence_1918-1920_L.L.A.D.jpg?width=640,blue,[],English,579,openplaques:subject:id=579,P. G. Wodehouse,Wodehouse,male,1881,1975,man,"[""writer"", ""author"", ""humourist"", ""Knight of the British Empire""]",writer,https://en.wikipedia.org/wiki/P._G._Wodehouse,http://dbpedia.org/resource/P._G._Wodehouse,"https://commons.wikimedia.org/wiki/Special:FilePath/P.G._Wodehouse,_1930.jpg?width=640"
10092,openplaques:id=10092,Frederick Marryat plaque,Here lived Capt. Frederick Marryat RN 1792-1848 novelist,51.42068,-0.22802,United Kingdom,London,"6 Woodhayes Road, SW19",,,,"[""Wimbledon Society""]",English,249,openplaques:subject:id=249,Frederick Marryat,Marryat,male,1792,1848,man,"[""novelist"", ""Royal Navy Captain""]",novelist,https://en.wikipedia.org/wiki/Frederick_Marryat,http://dbpedia.org/resource/Frederick_Marryat,https://commons.wikimedia.org/wiki/Special:FilePath/Frederick_Marryat_by_John_Simpson.jpg?width=640
661,openplaques:id=661,Rose Macaulay blue plaque,Rose Macaulay 1881-1958 writer lived and died here,51.51700,-0.15165,United Kingdom,London,"Hinde House, 11-14 Hinde Street, Westminster, W1",1996,https://farm6.staticflickr.com/5609/15519846585_014529a3d7_z.jpg,blue,"[""administered by English Heritage as part of the London wide plaque scheme"", ""English Heritage""]",English,637,openplaques:subject:id=637,Rose Macaulay,Macaulay,female,1881,1958,woman,"[""writer""]",writer,https://en.wikipedia.org/wiki/Rose_Macaulay,http://dbpedia.org/resource/Rose_Macaulay,https://commons.wikimedia.org/wiki/Special:FilePath/Rose_macaulay.jpg?width=640
10161,openplaques:id=10161,"W. S. Gilbert, Richard Norman Shaw, Frederick Goodall, and Grim's Dyke blue plaque","This house designed by R. Norman Shaw Architect, for Frederick Goodall Painter was later the home of W. S. Gilbert Writer and librettist",51.62323,-0.35204,United Kingdom,London,"Grim's Dyke, Harrow Weald",,https://commons.wikimedia.org/wiki/Special:FilePath/This_house_designed_by_NORMAN_SHAW_Architect_for_FREDERICK_GOODALL_Painter_was_later_the_home_of_W.S._GILBERT_Writer_and_librettist.jpg?width=640,blue,"[""Greater London Council""]",English,206,openplaques:subject:id=206,W. S. Gilbert,Gilbert,male,1836,1911,man,"[""dramatist"", ""writer"", ""librettist"", ""playwright"", ""poet"", ""friend of Arthur Sullivan""]",dramatist,https://en.wikipedia.org/wiki/W._S._Gilbert,http://dbpedia.org/resource/W._S._Gilbert,https://commons.wikimedia.org/wiki/Special:FilePath/William_S._Gilbert_(1878).jpg?width=640
